# MCS-Based SMARTS Pattern Learning Results
# Generated by mcs_smarts_learner.py
#
# Configuration Statistics
# num_actives: 10
# num_inactives: 10
# min_atoms: 3
# max_atoms: 15
# min_fraction: 0.3
# max_patterns: 200
#
"SMARTS,Fitness,Enrichment_Factor,MCC,F1_Score,Tanimoto_Diff,Support_Actives,Support_Inactives,Num_Atoms,Num_Rings"
[#6&R](:&@[#6&R]:&@[#6&R]:&@[#6&R]):&@[#6&R],0.3955,1.7143,0.5241,0.7059,0.0000,6,1,5,0
[#6&R](:&@[#6&R]:&@[#6&R]):&@[#6&R]:&@[#6&R],0.3955,1.7143,0.5241,0.7059,0.0000,6,1,5,0
[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1,0.3326,1.6000,0.3464,0.5333,0.0000,4,1,6,0
c1ccccc1,0.3326,1.6000,0.3464,0.5333,0.0000,4,1,6,0
c1ccncc1,0.2967,2.0000,0.3333,0.3333,0.0000,2,0,6,0
[#6]1:&@[#6]:&@[#6]:&@[#7]:&@[#6]:&@[#6]:&@1,0.2967,2.0000,0.3333,0.3333,0.0000,2,0,6,0
[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#8&!R],0.2967,2.0000,0.3333,0.3333,0.0000,2,0,7,0
c1ccc(O)cc1,0.2967,2.0000,0.3333,0.3333,0.0000,2,0,7,0
c1ccc(N)cc1,0.2967,2.0000,0.3333,0.3333,0.0000,2,0,7,0
[#6&!R]-&!@[#6&!R]-&!@[#8&!R],0.2967,2.0000,0.3333,0.3333,0.0000,2,0,3,0
[#6]1:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@[#6]:&@1-&!@[#7&!R],0.2967,2.0000,0.3333,0.3333,0.0000,2,0,7,0
c1cccnc1,0.2967,2.0000,0.3333,0.3333,0.0000,2,0,6,0
[#6&!R]-&!@[#6&!R]-&!@[#7&!R],0.2967,2.0000,0.3333,0.3333,0.0000,2,0,3,0
[#6&!R]-&!@[#6&!R]-&!@[#6&!R],0.1980,0.8000,-0.1155,0.2667,0.0000,2,3,3,0
